fnr 	f[OB] 	 d[OB] 	 h[OB] 	 t[OB] 	cmp_give[OB][IMPROVED] 	cmp_give[OB][EQUAL] 	cmp_give[OB][NONIMPROVED] 	f[BB] 	 d[BB] 	 h[BB] 	 t[BB] 	cmp_give[BB][IMPROVED] 	cmp_give[BB][EQUAL] 	cmp_give[BB][NONIMPROVED]
results\total_results13_p13_rnt20_itr2000_ptr50_rm1_ns0_t2_cp70_r1_r20.txt	360.859363	0.019338	99.777778	0.114444	0	900	0	122.276856	-0.000000	13.636364	1.454545	3	19	0
results\total_results13_p13_rnt20_itr2000_ptr50_rm1_ns0_t2_cp70_r1_r20.txt	360.859363	0.019338	99.777778	0.114444	0	900	0	463.874639	0.077615	40.861111	133.606667	388	511	1
results\total_results15_p13_rnt20_itr2000_ptr50_rm1_ns0_t2_cp70_r9_r20.txt	360.860220	0.020598	99.766667	0.097778	0	900	0	463.875852	0.082959	40.877778	113.610000	387	512	1
results\tr_p13_itr2000_ptr50_rm2_ns0_t2_cp70_r1_r20.txt	360.857283	0.008965	99.750000	0.167778	0	899	1	463.879032	0.095240	40.800000	105.930000	388	512	0
results\tr3_p13_itr2000_ptr50_rm1_ns0_t2_cp70_r1_r20.txt	360.846879	-0.000000	100.000000	0.492222	0	900	0	463.870364	0.058035	41.277778	249.947778	388	512	0
results\tr2_p13_itr4000_ptr50_rm1_ns0_t2_cp70_r1_r20.txt	360.847052	0.000230	99.983333	0.328889	0	900	0	463.826053	0.035167	42.255556	380.504444	387	513	0
results\tr4_p13_itr2000_ptr50_rm1_ns0_t2_cp70_r1_r20.txt	360.870990	0.026233	99.544444	0.241111	0	899	1	463.937237	0.225943	40.083333	113.658889	385	511	4
results\tr5_p13_itr2000_ptr50_rm1_ns0_t2_cp10_r1_r20.txt	360.870432	0.026972	99.588889	0.107778	0	899	1	464.022376	0.334170	38.616667	160.031111	383	513	4
results\tr6_p13_itr2000_ptr50_rm1_ns0_t2_cp10_r1_r20.txt	360.886262	0.031114	99.433333	0.070000	0	898	2	464.030980	0.346569	38.422222	254.751111	383	512	5
results\tr6_p13_itr2000_ptr50_rm1_ns0_t2_cp5_r1_r20.txt	360.886279	0.031108	99.450000	0.107778	0	898	2	463.986704	0.266882	39.244444	268.093333	385	511	4
results\tr7_p13_itr2000_ptr50_rm1_ns0_t2_cp70_r1_r20.txt	360.858049	0.028040	99.777778	0.128889	0	900	0	463.896875	0.170578	40.822222	144.947778	387	510	3
results\tr8_p13_itr2000_ptr50_rm1_ns0_t0_cp0_r1_r20.txt	360.859978	0.024620	99.716667	0.123333	0	899	1	463.906662	0.105004	40.055556	129.102222	388	512	0
results\tr9_p13_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.867343	0.049040	99.627778	0.052222	0	900	0	464.118105	0.528328	36.566667	145.142222	382	512	6
results\hma1_p13_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	22428736.993333	0	900	0	463.876555	0.075814	40.833333	4765440.833333	388	512	0
results\hma2_p13_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.183333	0	900	0	463.872191	0.074549	40.922222	865.844444	388	512	0
results\hma3_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.331111	0	900	0	463.890579	0.086748	40.300000	721.575556	388	512	0
results\hma4_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.127778	0	900	0	463.856008	0.060503	41.505556	928.307778	388	512	0
results\hma5_tri_insert_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.480000	0	900	0	463.878592	0.058523	40.616667	989.902222	387	513	0
