fnr 	(*iter)->filename  	  (*iter)->n  	  (*iter)->m  	(*iter)->opt_obj_given  	  (*iter)->opt_obj_real  	(*iter)->rand_seed  	  (*iter)->sol_info_vec.size()  	obj[0]  	  obj[1]  	  obj[2]  	iteration[0]  	  iteration[1]  	  iteration[2]  	tm[0]  	  tm[1]  	  tm[2]  	cmp_give_result_cnt[0]  	  cmp_give_result_cnt[1]  	  cmp_give_result_cnt[2]  	cmp_real_result_cnt[0]  	  cmp_real_result_cnt[1]  	  cmp_real_result_cnt[2]  	
results\para_setting_ptr_p13_rnt100_itr2000_ptr10_rm1_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460910808	100	126.120749	126.728897	127.221000	8	784	1911	7	509	1618	84	16	0	84	16	0
results\para_setting_ptr_p13_rnt100_itr2000_ptr30_rm1_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460910965	100	126.131913	126.860759	127.221000	6	685	1958	6	532	1794	67	33	0	67	33	0
results\para_setting_ptr_p13_rnt100_itr2000_ptr50_rm1_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460911137	100	126.120749	126.875404	127.221000	11	668	1966	12	597	2054	60	40	0	60	40	0
results\para_setting_ptr_p13_rnt100_itr2000_ptr70_rm1_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460911327	100	126.131913	127.044155	127.221000	3	507	1950	4	445	1726	32	68	0	32	68	0
results\para_setting_ptr_p13_rnt100_itr2000_ptr90_rm1_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460911539	100	126.120749	127.025822	127.407320	7	553	1988	7	523	1850	35	64	1	35	64	1
results\para_setting_ptr_p13_rnt100_itr2000_ptr3_rm1_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460912660	100	126.120749	126.686756	127.221000	1	776	1933	2	499	1643	88	12	0	88	12	0
results\para_setting_ptr_p13_rnt100_itr2000_ptr5_rm1_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460912303	100	126.120749	126.745146	127.221000	15	652	1994	10	360	1139	83	17	0	83	17	0
results\para_setting_ptr_p13_rnt100_itr2000_ptr7_rm1_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460912425	100	126.120749	126.708079	127.221000	16	718	1996	11	424	1518	84	16	0	84	16	0
