8	133.524461	6	173	137	2	2
9	133.326538	7	1012	780	2	2
10	133.326538	7	293	228	2	2
11	133.847920	6	454	342	2	2
12	133.345837	6	718	651	2	2
13	133.345837	6	827	667	2	2
14	133.566740	7	1858	1500	2	2
15	133.326538	7	364	277	2	2
16	133.914229	7	354	295	2	2
17	133.326538	7	1086	1021	2	2
18	133.326538	7	1439	1126	2	2
19	133.345837	6	198	146	2	2
20	133.326538	7	1679	1471	2	2
Ni_50_7-1_2_10	50	7	126.024000	0.000000	1461601983
1	126.024028	7	31	33	1	1
2	126.024028	7	120	93	1	1
3	126.024028	7	56	51	1	1
4	126.024028	7	177	153	1	1
5	126.024028	7	105	78	1	1
6	126.024028	7	28	23	1	1
7	126.024028	7	90	75	1	1
8	126.024028	7	101	76	1	1
9	126.024028	7	20	17	1	1
10	126.024028	7	101	170	1	1
11	126.024028	7	85	88	1	1
12	126.024028	7	42	37	1	1
13	126.024028	7	89	113	1	1
14	126.024028	7	50	71	1	1
15	126.024028	7	10	25	1	1
16	126.024028	7	21	37	1	1
17	126.024028	7	22	29	1	1
18	126.024028	7	203	257	1	1
19	126.024028	7	37	54	1	1
20	126.024028	7	300	234	1	1
Ni_50_7-1_2_11	50	7	128.069600	0.000000	1461602024
1	126.720819	1	82	83	2	2
2	126.720819	1	19	20	2	2
3	126.720819	1	448	346	2	2
4	126.720819	1	367	272	2	2
5	126.720819	1	725	586	2	2
6	126.720819	1	82	102	2	2
7	126.720819	1	539	454	2	2
8	126.720819	1	12	13	2	2
9	126.720819	1	108	77	2	2
10	126.720819	1	107	86	2	2
11	126.720819	1	1027	945	2	2
12	126.720819	1	155	145	2	2
13	126.720819	1	364	359	2	2
14	126.720819	1	192	138	2	2
15	126.720819	1	235	183	2	2
16	126.720819	1	20	21	2	2
17	126.720819	1	78	65	2	2
18	126.720819	1	20	20	2	2
19	126.720819	1	161	131	2	2
20	126.720819	1	67	50	2	2
Ni_50_7-1_2_12	50	7	87.368740	0.000000	1461602057
1	85.051629	4	1028	882	2	2
2	85.051629	4	942	765	2	2
3	85.051629	4	411	325	2	2
4	85.051629	4	721	591	2	2
5	86.666931	6	14	17	2	2
6	85.051629	4	1135	850	2	2
7	85.051629	4	170	151	2	2
8	86.666931	6	635	482	2	2
9	85.051629	4	504	423	2	2
10	85.051629	4	340	345	2	2
11	85.051629	4	174	164	2	2
12	85.051629	4	171	138	2	2
13	85.051629	4	193	167	2	2
14	85.051629	4	460	392	2	2
15	85.051629	4	47	40	2	2
16	85.051629	4	857	752	2	2
17	85.051629	4	376	310	2	2
18	85.051629	4	1218	948	2	2
19	85.051629	4	267	222	2	2
20	85.051629	4	1667	1445	2	2
Ni_50_7-1_2_13	50	7	116.674500	0.000000	1461602089
1	114.982301	3	27	29	2	2
2	114.787388	7	122	151	2	2
3	114.967745	6	461	395	2	2
4	114.787388	7	575	496	2	2
5	115.413630	1	227	221	2	2
6	114.967745	6	939	1206	2	2
7	114.967745	6	139	229	2	2
8	114.967745	6	699	669	2	2
9	114.982301	3	237	262	2	2
10	114.787388	7	1457	1354	2	2
11	115.084005	1	626	557	2	2
12	115.084005	1	309	325	2	2
13	114.787388	7	48	53	2	2
14	114.967745	6	1339	1296	2	2
15	114.967745	6	336	300	2	2
16	114.787388	7	1031	1043	2	2
17	114.787388	7	1165	1063	2	2
18	114.787388	7	106	95	2	2
19	114.787388	7	772	718	2	2
20	114.787388	7	1674	1542	2	2
Ni_50_7-1_2_14	50	7	118.356900	0.000000	1461602129
1	119.354217	2	24	25	0	0
2	118.356940	7	1394	1211	1	1
3	119.354217	2	37	29	0	0
4	119.354217	2	1841	1552	0	0
5	118.356940	7	413	354	1	1
6	119.354217	2	522	431	0	0
7	118.356940	7	34	27	1	1
8	118.356940	7	150	115	1	1
9	118.356940	7	641	509	1	1
10	118.356940	7	1032	858	1	1
11	119.354217	2	690	605	0	0
12	120.108540	2	187	146	0	0
13	118.356940	7	642	554	1	1
14	119.354217	2	1236	1052	0	0
15	118.356940	7	1102	918	1	1
16	120.108540	2	619	469	0	0
17	118.356940	7	35	30	1	1
18	118.356940	7	1900	1596	1	1
19	119.354217	2	995	798	0	0
20	119.354217	2	246	210	0	0
Ni_50_7-1_2_15	50	7	96.285180	0.000000	1461602161
1	95.921214	7	152	139	2	2
2	96.285177	3	104	79	1	1
3	95.921214	7	1451	1218	2	2
4	95.921214	7	1616	1403	2	2
5	96.285177	3	28	23	1	1
6	95.921214	7	1689	1413	2	2
7	95.921214	7	1310	1138	2	2
8	96.285177	3	195	160	1	1
9	95.921214	7	120	100	2	2
10	95.921214	7	1523	1325	2	2
11	95.921214	7	213	174	2	2
12	95.921214	7	127	109	2	2
13	96.285177	3	251	190	1	1
14	95.921214	7	1392	1349	2	2
15	95.921214	7	492	397	2	2
16	95.921214	7	1236	1038	2	2
17	95.921214	7	931	789	2	2
18	95.921214	7	813	685	2	2
19	95.921214	7	1069	878	2	2
20	95.921214	7	737	645	2	2
Ni_50_7-1_2_16	50	7	98.848530	0.000000	1461602195
1	97.644343	4	290	252	2	2
2	97.644343	4	340	279	2	2
3	97.644343	4	272	229	2	2
4	97.644343	4	420	368	2	2
5	97.644343	4	174	151	2	2
6	97.644343	4	17	16	2	2
7	97.644343	4	329	287	2	2
8	97.644343	4	25	25	2	2
9	97.644343	4	225	193	2	2
10	97.644343	4	143	127	2	2
11	97.644343	4	64	66	2	2
12	97.644343	4	129	107	2	2
