(*iter)->filename  	  (*iter)->n  	  (*iter)->m  	(*iter)->opt_obj_given  	  (*iter)->opt_obj_real  	  opt_best_map.at((*iter)->filename)  	(*iter)->rand_seed  	  (*iter)->sol_info_vec.size()  	tct[0]  	  tct[1]  	  tct[2]  	obj[0]  	  obj[1]  	  obj[2]  	iteration[0]  	  iteration[1]  	  iteration[2]  	tm[0]  	  tm[1]  	  tm[2]  	cmp_give_result_cnt[0]  	  cmp_give_result_cnt[1]  	  cmp_give_result_cnt[2]  	cmp_real_result_cnt[0]  	  cmp_real_result_cnt[1]  	  cmp_real_result_cnt[2]  	hit_cnt
Ni_8_2-1_2_1	8	2	160.652500	315.950152	160.652474	1489672916	20	305.673746	305.673746	305.673746	238.494916	238.494916	238.494916	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_2	8	2	160.983000	274.039846	160.983037	1489672917	20	266.505172	266.505172	266.505172	171.830372	171.830372	171.830372	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_3	8	2	256.745900	512.292053	256.745918	1489672918	20	509.267679	509.267679	509.267679	318.997823	318.997823	318.997823	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_4	8	2	202.877600	385.258079	202.877573	1489672918	20	384.617344	384.617344	384.617344	275.018129	275.018129	275.018129	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_5	8	2	107.822900	210.387743	107.822902	1489672919	20	210.387743	210.387743	210.387743	107.822902	107.822902	107.822902	0.000000	0.000000	0.000000	0.000000	0.150000	1.000000	0	20	0	0	0	20	20
Ni_8_2-1_2_6	8	2	187.239800	373.493787	187.239826	1489672920	20	358.013825	358.013825	358.013825	210.537727	210.537727	210.537727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_7	8	2	233.210600	465.293238	233.210610	1489672921	20	465.293238	465.293238	465.293238	233.210610	233.210610	233.210610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	0	20	20
Ni_8_2-1_2_8	8	2	149.341900	298.510252	149.341902	1489672922	20	298.510252	298.510252	298.510252	149.341902	149.341902	149.341902	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	20	0	0	0	20	20
Ni_8_2-1_2_9	8	2	171.526900	295.210951	171.526945	1489672923	20	295.210951	295.210951	295.210951	171.526945	171.526945	171.526945	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	20	0	0	0	20	20
Ni_8_2-1_2_10	8	2	190.445900	375.213726	190.445903	1489672924	20	355.370055	355.370055	355.370055	216.397739	216.397739	216.397739	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
