Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460971659
1	127.221000	6	73	51	1	1
2	127.221000	6	35	30	1	1
3	127.221000	6	43	22	1	1
4	126.656591	5	1189	668	2	2
5	126.905003	1	436	249	2	2
6	127.221000	6	249	139	1	1
7	127.221000	6	77	50	1	1
8	126.656591	5	1351	741	2	2
9	126.656591	5	838	446	2	2
10	127.221000	6	76	43	1	1
11	126.656591	5	344	262	2	2
12	126.905003	1	64	38	2	2
13	126.656591	5	437	252	2	2
14	126.656591	5	495	333	2	2
15	126.656591	5	960	515	2	2
16	126.656591	5	637	347	2	2
17	127.221000	6	198	114	1	1
18	126.120749	6	1150	677	2	2
19	126.656591	5	328	179	2	2
20	126.656591	5	381	213	2	2
21	126.656591	5	566	346	2	2
22	127.221000	6	170	92	1	1
23	127.221000	6	148	77	1	1
24	126.656591	5	1282	719	2	2
25	126.656591	5	912	499	2	2
26	126.656591	5	1950	1108	2	2
27	127.221000	6	210	111	1	1
28	126.656591	5	1336	851	2	2
29	127.221000	6	456	260	1	1
30	127.221000	6	71	48	1	1
31	127.221000	6	45	23	1	1
32	126.656591	5	1265	706	2	2
33	127.221000	6	28	17	1	1
34	126.656591	5	772	408	2	2
35	126.656591	5	353	207	2	2
36	127.221000	6	72	41	1	1
37	127.221000	6	9	6	1	1
38	126.656591	5	1665	974	2	2
39	126.656591	5	1806	983	2	2
40	127.221000	6	212	114	1	1
41	127.097198	5	1863	1044	2	2
42	126.656591	5	1203	708	2	2
43	127.221000	6	341	209	1	1
44	127.221000	6	107	57	1	1
45	126.656591	5	1046	653	2	2
46	127.221000	6	121	69	1	1
47	127.221000	6	38	23	1	1
48	126.656591	5	797	425	2	2
49	127.221000	6	33	16	1	1
50	127.221000	6	60	34	1	1
51	127.097198	5	1811	1044	2	2
52	126.656591	5	1880	1022	2	2
53	127.221000	6	44	24	1	1
54	126.656591	5	1764	993	2	2
55	127.221000	6	223	133	1	1
56	127.221000	6	22	15	1	1
57	126.656591	5	1106	619	2	2
58	126.905003	1	1439	790	2	2
59	127.221000	6	501	279	1	1
60	126.656591	5	351	185	2	2
61	126.656591	5	1638	896	2	2
62	127.221000	6	321	176	1	1
63	127.221000	6	17	10	1	1
64	127.221000	6	181	98	1	1
65	127.221000	6	261	139	1	1
66	127.097198	5	581	300	2	2
67	127.221000	6	22	13	1	1
68	126.656591	5	560	297	2	2
69	127.221000	6	27	15	1	1
70	127.221000	6	306	180	1	1
71	127.221000	6	43	24	1	1
72	126.905003	1	173	96	2	2
73	126.656591	5	1432	770	2	2
74	127.221000	6	23	13	1	1
75	127.221000	6	412	226	1	1
76	126.656591	5	1213	648	2	2
77	126.656591	5	1621	895	2	2
78	126.656591	5	938	494	2	2
79	127.221000	6	148	84	1	1
80	126.905003	1	1166	651	2	2
81	126.656591	5	1187	646	2	2
82	126.656591	5	1195	648	2	2
83	126.656591	5	905	505	2	2
84	126.656591	5	481	253	2	2
85	127.221000	6	185	101	1	1
86	127.097198	5	1987	1100	2	2
87	127.221000	6	180	100	1	1
88	126.131913	4	1357	723	2	2
89	126.905003	1	1001	534	2	2
90	126.656591	5	190	90	2	2
91	127.221000	6	68	36	1	1
92	126.131913	4	1605	890	2	2
93	126.656591	5	1257	682	2	2
94	126.131913	4	902	508	2	2
95	126.656591	5	1518	843	2	2
96	127.221000	6	226	118	1	1
97	126.131913	4	1230	658	2	2
98	126.905003	1	1589	867	2	2
99	126.656591	5	1625	886	2	2
100	127.221000	6	57	33	1	1
