Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460969693
1	127.221000	6	114	69	1	1
2	126.905003	1	1029	582	2	2
3	127.221000	6	8	7	1	1
4	126.905003	1	146	84	2	2
5	127.097198	5	1131	650	2	2
6	127.221000	6	356	204	1	1
7	127.221000	6	209	110	1	1
8	126.656591	5	358	198	2	2
9	127.221000	6	23	14	1	1
10	127.221000	6	58	30	1	1
11	127.221000	6	557	285	1	1
12	126.120749	6	183	100	2	2
13	127.221000	6	307	158	1	1
14	126.656591	5	612	348	2	2
15	126.656591	5	360	203	2	2
16	126.656591	5	1436	818	2	2
17	126.656591	5	1647	922	2	2
18	126.905003	1	358	207	2	2
19	126.131913	4	1816	1039	2	2
20	127.221000	6	197	117	1	1
