Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460907776
1	126.656591	5	191	173	2	2
2	126.656591	5	1946	1751	2	2
3	127.221000	6	54	46	1	1
4	126.656591	5	1836	1546	2	2
5	127.221000	6	196	169	1	1
6	127.221000	6	36	34	1	1
7	127.221000	6	59	51	1	1
8	126.905003	1	1051	844	2	2
9	127.221000	6	128	98	1	1
10	127.221000	6	260	222	1	1
11	126.656591	5	1018	826	2	2
12	127.221000	6	361	299	1	1
13	126.120749	6	258	211	2	2
14	126.656591	5	79	64	2	2
15	127.221000	6	150	132	1	1
16	127.221000	6	48	40	1	1
17	126.656591	5	285	207	2	2
18	127.221000	6	221	189	1	1
19	126.656591	5	1616	1275	2	2
20	127.221000	6	59	49	1	1
21	127.221000	6	85	72	1	1
22	126.656591	5	296	250	2	2
23	126.120749	6	517	427	2	2
24	126.656591	5	842	692	2	2
25	127.221000	6	80	62	1	1
26	126.905003	1	853	695	2	2
27	126.656591	5	422	335	2	2
28	127.221000	6	97	83	1	1
29	126.656591	5	322	274	2	2
30	126.656591	5	895	733	2	2
31	127.221000	6	537	459	1	1
32	127.221000	6	49	47	1	1
33	127.221000	6	613	520	1	1
34	127.221000	6	167	115	1	1
35	126.656591	5	493	404	2	2
36	127.221000	6	740	629	1	1
37	127.221000	6	134	116	1	1
38	126.656591	5	209	192	2	2
39	127.221000	6	144	111	1	1
40	127.221000	6	78	53	1	1
41	126.905003	1	1867	1552	2	2
42	127.221000	6	250	200	1	1
43	126.656591	5	804	697	2	2
44	127.221000	6	182	160	1	1
45	127.221000	6	120	90	1	1
46	126.656591	5	142	116	2	2
47	126.905003	1	257	215	2	2
48	127.221000	6	255	197	1	1
49	126.905003	1	1859	1608	2	2
50	126.656591	5	742	609	2	2
51	126.656591	5	762	680	2	2
52	127.097198	5	1299	1063	2	2
53	126.656591	5	1652	1361	2	2
54	126.656591	5	695	575	2	2
55	126.648327	5	1573	1204	2	2
56	126.656591	5	1180	985	2	2
57	126.656591	5	935	752	2	2
58	127.221000	6	598	548	1	1
59	127.221000	6	200	170	1	1
60	126.656591	5	331	280	2	2
61	127.221000	6	111	107	1	1
62	127.221000	6	42	39	1	1
63	126.656591	5	1647	1316	2	2
64	126.656591	5	1389	1150	2	2
65	126.656591	5	325	266	2	2
66	127.221000	6	80	67	1	1
67	127.221000	6	194	168	1	1
68	127.221000	6	693	555	1	1
69	127.221000	6	25	20	1	1
70	126.656591	5	769	649	2	2
71	127.221000	6	261	225	1	1
72	127.221000	6	163	144	1	1
73	127.221000	6	79	62	1	1
74	126.656591	5	599	507	2	2
75	127.221000	6	288	234	1	1
76	127.221000	6	149	117	1	1
77	127.221000	6	144	131	1	1
78	127.221000	6	446	325	1	1
79	127.221000	6	27	26	1	1
80	127.221000	6	95	76	1	1
81	126.905003	1	854	699	2	2
82	126.656591	5	519	402	2	2
83	127.221000	6	274	223	1	1
84	126.656591	5	791	660	2	2
85	127.221000	6	65	51	1	1
86	127.221000	6	254	211	1	1
87	126.656591	5	1866	1521	2	2
88	126.656591	5	1867	1563	2	2
89	126.656591	5	9	9	2	2
90	126.656591	5	1004	825	2	2
91	127.221000	6	194	144	1	1
92	126.656591	5	1211	981	2	2
93	126.131913	4	1622	1314	2	2
94	127.221000	6	21	20	1	1
95	127.097198	5	72	53	2	2
96	127.221000	6	218	176	1	1
97	127.221000	6	38	33	1	1
98	127.221000	6	84	74	1	1
99	126.905003	1	619	503	2	2
100	127.221000	6	672	548	1	1
