fnr 	JUDGE_MODE	optfound_pct[OB][P1] 	 optfound_pct[OB][P2] 	optfound_pct[OB][D1] 	 optfound_pct[OB][D2] 	optfound_pct[OB][M1] 	 optfound_pct[OB][M2] 	 optfound_pct[OB][M3] 	optfound_pct[OB][N1] 	 optfound_pct[OB][N2] 	 optfound_pct[OB][N3] 	optfound_pct[BB][P1] 	 optfound_pct[BB][P2] 	optfound_pct[BB][D1] 	 optfound_pct[BB][D2] 	optfound_pct[BB][M1] 	 optfound_pct[BB][M2] 	 optfound_pct[BB][M3] 	optfound_pct[BB][N1] 	 optfound_pct[BB][N2] 	 optfound_pct[BB][N3] 	results\total_results_p13_itr200_ptr30_rm1_ns0_r1_r20.txt	HR_JUDGE	98.322222	97.166667	97.211111	98.277778	100.000000	98.200000	95.033333	100.000000	98.200000	95.033333	26.344444	33.844444	30.866667	29.322222	17.683333	34.033333	38.566667	17.683333	34.033333	38.566667	
results\total_results4_p13_itr2000_ptr70_rm1_ns0_r1_r20.txt	HR_JUDGE	99.844444	100.000000	99.844444	100.000000	100.000000	100.000000	99.766667	100.000000	100.000000	99.766667	39.222222	42.644444	41.122222	40.744444	24.566667	44.683333	53.550000	24.566667	44.683333	53.550000	
results\total_results4_p13_itr2000_ptr70_rm1_ns0_r1_r20.txt	DEV_JUDGE	0.008274	-0.000000	0.008274	-0.000000	-0.000000	-0.000000	0.012412	-0.000000	-0.000000	0.012412	0.138311	0.014342	0.078210	0.074443	0.006112	0.047680	0.175188	0.006112	0.047680	0.175188	
results\total_results4_p13_itr2000_ptr70_rm1_ns0_r1_r20.txt	TIME_JUDGE	0.064444	0.040000	0.075556	0.028889	0.000000	0.033333	0.123333	0.000000	0.033333	0.123333	136.591111	138.988889	149.571111	126.008889	153.576667	109.490000	150.303333	153.576667	109.490000	150.303333	
results\total_results4_p13_itr2000_ptr70_rm1_ns0_r1_r20.txt	OBJ_JUDGE	135.684990	586.015233	345.984855	375.715368	529.459515	322.802705	230.288115	529.459515	322.802705	230.288115	117.691187	810.062139	429.465778	498.287548	774.323656	372.925157	244.381176	774.323656	372.925157	244.381176	
results\total_results6_p13_itr2000_ptr50_rm1_ns0_r1_r20.txt	HR_JUDGE	99.488889	99.900000	99.588889	99.800000	100.000000	99.983333	99.100000	100.000000	99.983333	99.100000	38.877778	42.733333	40.877778	40.733333	24.866667	44.366667	53.183333	24.866667	44.366667	53.183333	
results\total_results6_p13_itr2000_ptr50_rm1_ns0_r1_r20.txt	DEV_JUDGE	0.033842	0.003381	0.015880	0.021343	-0.000000	0.000130	0.055705	-0.000000	0.000130	0.055705	0.158528	0.016283	0.081091	0.093720	0.003724	0.045120	0.213372	0.003724	0.045120	0.213372	
results\total_results6_p13_itr2000_ptr50_rm1_ns0_r1_r20.txt	TIME_JUDGE	0.077778	0.066667	0.111111	0.033333	0.000000	0.056667	0.160000	0.000000	0.056667	0.160000	108.140000	110.751111	117.991111	100.900000	119.506667	85.620000	123.210000	119.506667	85.620000	123.210000	
results\total_results6_p13_itr2000_ptr50_rm1_ns0_r1_r20.txt	OBJ_JUDGE	135.700614	586.025324	345.997924	375.728014	529.459515	322.803589	230.325802	529.459515	322.803589	230.325802	117.692244	810.050123	429.457566	498.284801	774.310055	372.917816	244.385679	774.310055	372.917816	244.385679	
results\total_results7_p13_itr2000_ptr50_rm1_ns0_r1_r20.txt	HR_JUDGE	99.500000	99.955556	99.644444	99.811111	100.000000	100.000000	99.183333	100.000000	100.000000	99.183333	38.966667	42.711111	41.055556	40.622222	24.933333	44.450000	53.133333	24.933333	44.450000	53.133333	
results\total_results7_p13_itr2000_ptr50_rm1_ns0_r1_r20.txt	DEV_JUDGE	0.036345	0.001761	0.015431	0.022675	-0.000000	-0.000000	0.057159	-0.000000	-0.000000	0.057159	0.150317	0.016497	0.074921	0.091893	0.005694	0.053388	0.191140	0.005694	0.053388	0.191140	
results\total_results7_p13_itr2000_ptr50_rm1_ns0_r1_r20.txt	TIME_JUDGE	0.082222	0.073333	0.115556	0.040000	0.000000	0.070000	0.163333	0.000000	0.070000	0.163333	110.213333	118.024444	123.406667	104.831111	123.866667	91.110000	127.380000	123.866667	91.110000	127.380000	
results\total_results7_p13_itr2000_ptr50_rm1_ns0_r1_r20.txt	OBJ_JUDGE	135.702200	586.020088	345.993856	375.728432	529.459515	322.802705	230.321213	529.459515	322.802705	230.321213	117.696913	810.050532	429.458780	498.288665	774.317591	372.921877	244.381699	774.317591	372.921877	244.381699	
results\total_results9_p13_itr2000_ptr50_rm1_ns0_r1_r20.txt	HR_JUDGE	99.466667	99.944444	99.822222	99.588889	100.000000	99.966667	99.150000	100.000000	99.966667	99.150000	39.133333	42.466667	41.144444	40.455556	24.816667	44.616667	52.966667	24.816667	44.616667	52.966667	
results\total_results9_p13_itr2000_ptr50_rm1_ns0_r1_r20.txt	DEV_JUDGE	0.043763	0.001903	0.008140	0.037526	0.000000	0.000259	0.068239	0.000000	0.000259	0.068239	0.146862	0.016392	0.072048	0.091206	0.005117	0.053524	0.186240	0.005117	0.053524	0.186240	
results\total_results9_p13_itr2000_ptr50_rm1_ns0_r1_r20.txt	TIME_JUDGE	0.060000	0.075556	0.106667	0.028889	0.000000	0.056667	0.146667	0.000000	0.056667	0.146667	114.046667	113.855556	124.800000	103.102222	120.733333	94.003333	127.116667	120.733333	94.003333	127.116667	
results\total_results9_p13_itr2000_ptr50_rm1_ns0_r1_r20.txt	OBJ_JUDGE	135.706834	586.021198	345.989183	375.738850	529.459565	322.804490	230.327994	529.459565	322.804490	230.327994	117.696195	810.057271	429.458918	498.294548	774.318541	372.925801	244.385856	774.318541	372.925801	244.385856	
