10	380.466999	4	42	70	1	1
11	380.466999	4	28	48	1	1
12	380.466999	4	19	55	1	1
13	380.466999	4	118	155	1	1
14	380.466999	4	118	147	1	1
15	380.466999	4	12	30	1	1
16	380.466999	4	20	42	1	1
17	380.466999	4	65	93	1	1
18	380.466999	4	0	6	1	1
19	380.466999	4	6	25	1	1
20	380.466999	4	93	132	1	1
Ni_50_4-1_2_9	50	4	355.428700	1110.230248	1462535367
1	355.428697	2	0	2	1	2
2	355.428697	2	8	20	1	2
3	355.428697	2	14	38	1	2
4	355.428697	2	41	73	1	2
5	355.428697	2	0	7	1	2
6	355.428697	2	76	112	1	2
7	355.428697	2	0	10	1	2
8	355.428697	2	12	30	1	2
9	355.428697	2	0	7	1	2
10	355.428697	2	5	23	1	2
11	355.428697	2	7	24	1	2
12	355.428697	2	0	12	1	2
13	355.428697	2	34	75	1	2
14	355.428697	2	70	102	1	2
15	355.428697	2	0	8	1	2
16	355.428697	2	23	47	1	2
17	355.428697	2	49	85	1	2
18	355.428697	2	35	62	1	2
19	355.428697	2	0	14	1	2
20	355.428697	2	64	102	1	2
Ni_50_4-1_2_10	50	4	363.387500	363.387581	1462535422
1	363.387581	1	103	154	1	1
2	362.210720	1	850	1162	2	2
3	362.210720	1	152	223	2	2
4	362.210720	1	336	467	2	2
5	363.387581	1	79	128	1	1
6	362.210720	1	1750	2368	2	2
7	362.210720	1	767	1065	2	2
8	362.210720	1	286	385	2	2
9	362.210720	1	55	92	2	2
10	362.210720	1	555	751	2	2
11	362.210720	1	695	958	2	2
12	362.210720	1	200	268	2	2
13	362.210720	1	1109	1499	2	2
14	363.387581	1	36	64	1	1
15	362.210720	1	1200	1605	2	2
16	362.210720	1	930	1272	2	2
17	362.210720	1	1684	2239	2	2
18	362.210720	1	1369	1830	2	2
19	362.210720	1	75	118	2	2
20	362.210720	1	1013	1356	2	2
Ni_50_4-1_2_11	50	4	327.711500	327.711487	1462535476
1	327.711487	4	76	137	1	1
2	327.711487	4	27	53	1	1
3	327.711487	4	50	81	1	1
4	327.711487	4	13	31	1	1
5	327.711487	4	7	29	1	1
6	327.711487	4	41	66	1	1
7	327.711487	4	22	45	1	1
8	327.711487	4	94	177	1	1
9	327.711487	4	18	35	1	1
10	327.711487	4	17	42	1	1
11	327.711487	4	20	42	1	1
12	327.711487	4	42	74	1	1
13	327.711487	4	13	31	1	1
14	327.711487	4	20	44	1	1
15	327.711487	4	14	34	1	1
16	327.711487	4	10	28	1	1
17	327.711487	4	6	23	1	1
18	327.711487	4	22	41	1	1
19	327.711487	4	10	27	1	1
20	327.711487	4	53	87	1	1
Ni_50_4-1_2_12	50	4	374.645300	374.645279	1462535525
1	373.471666	2	1390	1846	2	2
2	373.471666	2	497	691	2	2
3	374.210996	1	27	58	2	2
4	374.210996	1	118	179	2	2
5	373.471666	2	165	255	2	2
6	373.471666	2	505	698	2	2
7	373.471666	2	791	1051	2	2
8	373.471666	2	698	951	2	2
9	373.471666	2	930	1263	2	2
10	373.471666	2	1119	1493	2	2
11	373.471666	2	196	278	2	2
12	373.471666	2	436	626	2	2
13	373.471666	2	36	67	2	2
14	373.471666	2	202	288	2	2
15	373.471666	2	424	595	2	2
16	373.471666	2	1555	2043	2	2
17	373.471666	2	27	58	2	2
18	373.471666	2	469	630	2	2
19	373.471666	2	1599	2153	2	2
20	373.471666	2	296	410	2	2
Ni_50_4-1_2_13	50	4	313.184900	313.184909	1462535579
1	309.172583	3	912	1116	2	2
2	309.172583	3	43	64	2	2
3	309.172583	3	279	364	2	2
4	309.172583	3	1078	1289	2	2
5	309.172583	3	492	557	2	2
6	309.172583	3	1281	1544	2	2
7	309.172583	3	805	1056	2	2
8	309.172583	3	35	54	2	2
9	309.172583	3	521	631	2	2
10	309.172583	3	607	728	2	2
11	309.172583	3	222	267	2	2
12	309.172583	3	146	197	2	2
13	309.172583	3	125	155	2	2
14	309.172583	3	43	75	2	2
15	309.172583	3	49	73	2	2
16	309.172583	3	117	155	2	2
17	309.172583	3	50	69	2	2
18	309.172583	3	430	515	2	2
19	309.172583	3	610	759	2	2
20	309.172583	3	401	463	2	2
Ni_50_4-1_2_14	50	4	337.039500	337.039472	1462535628
1	337.039472	4	95	155	1	1
2	337.039472	4	19	38	1	1
3	337.039472	4	86	124	1	1
4	337.039472	4	205	279	1	1
5	337.039472	4	30	57	1	1
6	337.039472	4	60	93	1	1
7	337.039472	4	171	260	1	1
8	337.039472	4	95	135	1	1
9	337.039472	4	54	85	1	1
10	337.039472	4	134	192	1	1
11	337.039472	4	45	72	1	1
12	337.039472	4	99	136	1	1
13	337.039472	4	331	460	1	1
14	337.039472	4	21	42	1	1
15	337.039472	4	44	70	1	1
16	337.039472	4	122	168	1	1
17	337.039472	4	140	179	1	1
18	337.039472	4	90	136	1	1
19	337.039472	4	101	152	1	1
20	337.039472	4	66	99	1	1
Ni_50_4-1_2_15	50	4	337.909100	915.433409	1462535681
1	337.909098	2	13	37	1	2
2	337.909098	2	2	17	1	2
3	337.909098	2	1	16	1	2
4	337.909098	2	5	22	1	2
5	337.909098	2	5	21	1	2
6	337.909098	2	11	30	1	2
7	337.909098	2	6	20	1	2
8	337.909098	2	17	39	1	2
9	337.909098	2	21	46	1	2
10	337.909098	2	11	32	1	2
11	337.909098	2	10	29	1	2
12	337.909098	2	7	27	1	2
13	337.909098	2	17	39	1	2
14	337.909098	2	29	55	1	2
15	337.909098	2	60	95	1	2
16	337.909098	2	40	67	1	2
17	337.909098	2	63	101	1	2
18	337.909098	2	16	36	1	2
19	337.909098	2	44	79	1	2
20	337.909098	2	49	83	1	2
Ni_50_4-1_2_16	50	4	306.806600	306.806628	1462535733
1	306.806628	2	15	41	1	1
2	306.806628	2	50	75	1	1
3	306.806628	2	19	45	1	1
4	306.806628	2	63	90	1	1
5	306.806628	2	96	135	1	1
6	306.806628	2	87	130	1	1
7	306.806628	2	97	148	1	1
8	306.806628	2	72	106	1	1
9	306.806628	2	30	58	1	1
10	306.806628	2	50	83	1	1
11	306.806628	2	32	54	1	1
12	306.806628	2	21	39	1	1
13	306.806628	2	69	109	1	1
14	306.806628	2	68	102	1	1
15	306.806628	2	61	99	1	1
16	306.806628	2	52	93	1	1
17	306.806628	2	242	358	1	1
18	306.806628	2	5	20	1	1
19	306.806628	2	58	121	1	1
20	306.806628	2	57	95	1	1
Ni_50_4-1_2_17	50	4	348.732100	348.732116	1462535787
1	346.408505	3	15	53	2	2
2	346.408505	3	43	82	2	2
3	346.408505	3	337	501	2	2
4	346.408505	3	261	381	2	2
5	346.408505	3	77	133	2	2
6	346.408505	3	272	400	2	2
7	346.408505	3	26	63	2	2
8	346.408505	3	209	309	2	2
9	346.408505	3	33	69	2	2
10	346.408505	3	56	106	2	2
11	346.408505	3	112	180	2	2
12	346.408505	3	43	84	2	2
13	346.408505	3	111	176	2	2
14	346.408505	3	166	260	2	2
15	346.408505	3	119	201	2	2
16	346.408505	3	84	148	2	2
