Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460969836
1	126.656591	5	38	36	2	2
2	127.221000	6	128	81	1	1
3	127.221000	6	150	85	1	1
4	126.656591	5	1164	661	2	2
5	127.221000	6	60	33	1	1
6	126.656591	5	1831	1022	2	2
7	126.656591	5	148	81	2	2
8	127.221000	6	223	130	1	1
9	126.656591	5	641	373	2	2
10	126.905003	1	1252	682	2	2
11	127.221000	6	217	112	1	1
12	126.656591	5	425	290	2	2
13	126.120749	6	1170	710	2	2
14	127.221000	6	200	141	1	1
15	127.221000	6	164	91	1	1
16	127.221000	6	438	245	1	1
17	126.656591	5	1103	642	2	2
18	127.097198	5	1000	577	2	2
19	126.656591	5	1268	701	2	2
20	127.221000	6	241	134	1	1
