fnr 	(*iter)->filename  	  (*iter)->n  	  (*iter)->m  	(*iter)->opt_obj_given  	  (*iter)->opt_obj_real  	(*iter)->rand_seed  	  (*iter)->sol_info_vec.size()  	obj[0]  	  obj[1]  	  obj[2]  	iteration[0]  	  iteration[1]  	  iteration[2]  	tm[0]  	  tm[1]  	  tm[2]  	cmp_give_result_cnt[0]  	  cmp_give_result_cnt[1]  	  cmp_give_result_cnt[2]  	cmp_real_result_cnt[0]  	  cmp_real_result_cnt[1]  	  cmp_real_result_cnt[2]  	
results\total_results14_p13_rnt100_itr2000_ptr50_rm1_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460971414	100	126.120749	126.919040	127.221000	6	621	1976	4	411	1875	53	47	0	53	47	0
results\total_results13_p13_rnt100_itr2000_ptr50_rm2_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460971547	100	126.120749	126.869706	127.221000	39	734	1970	25	413	1126	61	39	0	61	39	0
results\total_results13_p13_rnt100_itr2000_ptr50_rm3_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460971659	100	126.120749	126.907954	127.221000	9	672	1987	6	375	1108	57	43	0	57	43	0
results\total_results13_p13_rnt100_itr2000_ptr50_rm4_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460971771	100	126.120749	126.863251	127.221000	16	674	1984	9	377	1109	62	38	0	62	38	0
results\total_results13_p13_rnt100_itr2000_ptr50_rm5_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460971883	100	126.120749	126.839636	127.221000	28	605	1979	16	337	1096	59	41	0	59	41	0
results\total_results13_p13_rnt100_itr2000_ptr50_rm6_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460971994	100	126.120749	126.869915	127.221000	18	584	1928	10	348	1623	58	42	0	58	42	0
results\total_results13_p13_rnt100_itr2000_ptr50_rm7_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460972112	100	126.120749	126.927806	127.221000	12	632	1985	9	363	1154	53	47	0	53	47	0
results\total_results13_p13_rnt100_itr2000_ptr50_rm8_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460972226	100	126.120749	126.933622	127.221000	3	612	1879	4	334	1046	52	48	0	52	48	0
results\total_results13_p13_rnt100_itr2000_ptr50_rm9_ns0_t2_cp70_r1_r20.txt	Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460972335	100	126.120749	126.865728	127.221000	4	545	1950	5	314	1106	63	37	0	63	37	0
