11	186.457203	1	36	17	1	1
12	186.457203	1	182	84	1	1
13	186.457203	1	72	33	1	1
14	186.457203	1	32	15	1	1
15	186.457203	1	64	29	1	1
16	186.457203	1	82	38	1	1
17	186.457203	1	70	33	1	1
18	186.457203	1	59	27	1	1
19	186.457203	1	61	28	1	1
20	186.457203	1	33	16	1	1
Ni_35_4-1_1_10	35	4	191.365800	191.365758	1461215150
1	191.365758	3	22	12	1	1
2	191.365758	3	111	53	1	1
3	191.365758	3	107	52	1	1
4	191.365758	3	9	5	1	1
5	191.365758	3	58	28	1	1
6	191.365758	3	37	17	1	1
7	191.365758	3	74	35	1	1
8	191.365758	3	7	3	1	1
9	191.365758	3	50	25	1	1
10	191.365758	3	39	24	1	1
11	191.365758	3	61	30	1	1
12	191.365758	3	18	8	1	1
13	191.365758	3	62	30	1	1
14	191.365758	3	59	29	1	1
15	191.365758	3	16	8	1	1
16	191.365758	3	3	3	1	1
17	191.365758	3	10	5	1	1
18	191.365758	3	18	10	1	1
19	191.365758	3	14	7	1	1
20	191.365758	3	36	17	1	1
Ni_35_4-1_1_11	35	4	214.579300	214.579293	1461215169
1	214.579293	3	2	1	1	1
2	214.579293	3	7	4	1	1
3	214.579293	3	0	1	1	1
4	214.579293	3	2	2	1	1
5	214.579293	3	4	3	1	1
6	214.579293	3	3	2	1	1
7	214.579293	3	0	0	1	1
8	214.579293	3	5	4	1	1
9	214.579293	3	0	1	1	1
10	214.579293	3	2	2	1	1
11	214.579293	3	3	2	1	1
12	214.579293	3	5	3	1	1
13	214.579293	3	10	9	1	1
14	214.579293	3	0	1	1	1
15	214.579293	3	0	1	1	1
16	214.579293	3	0	1	1	1
17	214.579293	3	6	3	1	1
18	214.579293	3	2	2	1	1
19	214.579293	3	1	2	1	1
20	214.579293	3	4	4	1	1
Ni_35_4-1_1_12	35	4	198.897600	198.897594	1461215186
1	198.897594	1	9	6	1	1
2	198.897594	1	32	17	1	1
3	198.897594	1	124	67	1	1
4	198.897594	1	41	22	1	1
5	198.897594	1	66	36	1	1
6	198.897594	1	81	42	1	1
7	198.897594	1	9	5	1	1
8	198.897594	1	50	26	1	1
9	198.897594	1	615	323	1	1
10	198.897594	1	450	233	1	1
11	198.897594	1	20	13	1	1
12	198.897594	1	81	43	1	1
13	198.897594	1	159	89	1	1
14	198.897594	1	590	300	1	1
15	198.897594	1	34	23	1	1
16	198.897594	1	48	27	1	1
17	198.897594	1	85	51	1	1
18	198.897594	1	522	266	1	1
19	198.897594	1	2	4	1	1
