fnr 	f[OB] 	 d[OB] 	 h[OB] 	 t[OB] 	cmp_give[OB][IMPROVED] 	cmp_give[OB][EQUAL] 	cmp_give[OB][NONIMPROVED] 	f[BB] 	 d[BB] 	 h[BB] 	 t[BB] 	cmp_give[BB][IMPROVED] 	cmp_give[BB][EQUAL] 	cmp_give[BB][NONIMPROVED]
results\total_results_p13_itr200_ptr30_rm1_ns0_r1_r20.txt	360.975348	0.042752	0.977444	0.021111	0	894	6	464.543201	0.454843	0.300944	28.645556	378	516	6
results\total_results5_p13_itr200_ptr30_rm1_ns0_r1_r20.txt	360.933172	0.049161	0.981556	0.012222	0	897	3	464.474496	0.433677	0.305167	20.968889	376	515	9
results\total_results8_p13_itr200_ptr50_rm1_ns0_r1_r20.txt	360.887759	0.029419	0.990444	0.014444	0	900	0	464.392013	0.374952	0.309778	24.412222	377	518	5
results\total_results2_p13_itr2000_ptr30_rm1_ns0_r1_r20.txt	360.925230	0.033412	0.988944	0.127778	0	896	4	463.897005	0.103348	0.403444	98.030000	386	512	2
results\total_results4_p13_itr2000_ptr70_rm1_ns0_r1_r20.txt	360.850112	0.004137	0.999222	0.052222	0	900	0	463.876663	0.076326	0.409333	137.790000	387	513	0
results\total_results6_p13_itr2000_ptr50_rm1_ns0_r1_r20.txt	360.862969	0.018612	0.996944	0.072222	0	900	0	463.871183	0.087406	0.408056	109.445556	387	513	0
results\total_results7_p13_itr2000_ptr50_rm1_ns0_r1_r20.txt	360.861144	0.019053	0.997278	0.077778	0	900	0	463.873722	0.083407	0.408389	114.118889	388	511	1
results\total_results9_p13_itr2000_ptr50_rm1_ns0_r1_r20.txt	360.864016	0.022833	0.997056	0.067778	0	900	0	463.876733	0.081627	0.408000	113.951111	388	511	1
results\total_results10_p13_itr2000_ptr50_rm1_ns0_r1_r20.txt	360.861375	0.020429	99.738889	0.056667	0	900	0	463.881159	0.088767	40.766667	115.347778	387	512	1
